2016,hyundai,tucson,9.0,9.7,5.0,21,26,26,33
2016,hyundai,veloster,7.8,8.5,3.5,25,33,28,36
2017,hyundai,veloster,7.8,8.4,3.5,25,32,28,35
2016,infiniti,q50,7.8,10.0,2.5,19,27,28,34
2018,infiniti,q50,8.0,-1,3.0,19,26,27,32
2017,infiniti,q60,7.2,-1,3.0,19,26,22,30
2018,infiniti,q60,7.8,-1,3.5,19,26,22,30
2017,infiniti,qx30,7.3,-1,2.5,21,30,24,33
2016,infiniti,qx50,8.1,9.4,3.0,17,24,,
2019,infiniti,qx50,8.1,-1,,24,30,24,31
2016,infiniti,qx60,7.5,9.3,2.0,19,26,26,28
2017,infiniti,qx60,7.5,9.3,2.5,19,26,26,28
2017,infiniti,qx70,7.5,-1,3.0,16,22,17,24
2016,infiniti,qx80,7.4,-1,3.0,13,19,14,20
2018,infiniti,qx80,8.0,-1,4.5,13,19,14,20
2017,kia,cadenza,8.9,10.0,5.0,20,28,,
2017,kia,forte,8.5,9.3,4.0,23,29,29,38
2016,kia,k900,7.6,-1,3.0,15,23,17,26
2017,kia,niro,8.1,-1,4.0,46,40,52,49
2018,kia,niro,8.1,-1,4.0,46,40,52,49
2016,kia,optima,8.5,10.0,3.5,22,32,28,39
2017,kia,optima,8.4,10.0,3.5,22,31,28,37
2018,kia,rio,8.7,-1,4.5,28,37,29,37
2016,kia,sorento,8.4,9.7,3.5,17,23,21,29
2017,kia,soul,9.0,9.8,4.5,24,30,26,31
2017,kia,sportage,8.6,9.3,4.5,20,23,23,30
2018,kia,stinger,9.1,-1,4.0,19,25,22,29
2017,lexus,es,8.7,9.3,5.0,21,30,,
2016,lexus,gs,8.8,10.0,5.0,16,24,22,33
2017,lexus,gs,8.6,10.0,5.0,16,24,22,32
2016,lexus,gx,7.4,-1,4.0,15,20,,
2017,lexus,is,7.9,9.2,3.0,19,26,22,32
2018,lexus,ls,8.6,-1,4.5,18,27,25,33
2016,lexus,lx,7.6,-1,4.5,13,18,,
2018,lexus,nx,7.9,9.3,3.0,22,27,22,28
2016,lexus,rc,8.2,10.0,3.5,16,25,22,32
2017,lexus,rc,8.0,10.0,3.5,16,25,22,32
2017,lincoln,continental,8.1,9.8,4.0,16,24,18,27
2016,lincoln,mkc,8.2,8.9,3.5,18,26,20,29
2016,lincoln,mkx,8.3,9.7,3.5,16,23,17,26
2017,lincoln,mkx,8.1,9.8,3.5,16,23,18,25
2017,lincoln,mkz,7.5,9.3,3.5,20,28,41,38
2016,lincoln,navigator,7.5,8.7,3.5,15,19,16,22
2016,mazda,mazda3,8.6,9.7,3.0,25,35,30,41
2017,mazda,mazda3,8.2,9.8,2.5,25,33,28,37
2016,mazda,mazda6,8.4,9.7,3.0,25,37,28,40
2016,mazda,cx-3,8.2,9.7,3.0,27,32,29,35
2016,mazda,cx-5,8.5,9.3,3.5,24,30,26,35
2017,mazda,cx-5,8.6,9.8,3.5,23,29,24,31
2016,mazda,cx-9,7.9,-1,3.0,21,27,22,28
2017,mazda,cx-9,8.2,10.0,3.0,20,26,22,28
2016,mazda,mx-5-miata,8.3,-1,3.0,27,34,27,36
2017,mazda,mx-5-miata,8.2,-1,3.0,26,33,27,36
2016,mini,cooper,8.3,9.0,3.5,23,31,29,39
2017,mini,cooper,8.4,9.0,4.0,22,31,28,38
2017,mitsubishi,lancer,7.1,8.7,3.0,23,30,27,34
